x,y,z,score,score_d
19900,0,0,68,6480930
20000,0,0,68,6474860
20100,0,0,68,6468790
20200,0,0,68,6462730
20300,0,0,68,6456660
20400,0,0,68,6450590
20500,0,0,68,6444530
20600,0,0,69,6533150
20700,0,0,69,6527000
20800,0,0,69,6520850
20900,0,0,69,6514710
21000,0,0,70,6602890
21100,0,0,70,6596650
21200,0,0,70,6590420
21300,0,0,70,6584190
21400,0,0,70,6577970
21500,0,0,70,6571740
21600,0,0,70,6565510
21700,0,0,70,6559290
21800,0,0,70,6553070
21900,0,0,70,6546850
22000,0,0,70,6540630
22100,0,0,70,6534410
22200,0,0,71,6621460
22300,0,0,71,6615150
22400,0,0,71,6608850
22500,0,0,71,6602550
22600,0,0,71,6596250
22700,0,0,71,6589960
22800,0,0,71,6583660
22900,0,0,72,6670010
23000,0,0,73,6756180
23100,0,0,73,6749710
23200,0,0,73,6743250
23300,0,0,73,6736780
23400,0,0,73,6730320
23500,0,0,73,6723860
23600,0,0,73,6717400
23700,0,0,74,6802880
23800,0,0,74,6796330
23900,0,0,74,6789790
24000,0,0,74,6783250
24100,0,0,74,6776710
24200,0,0,75,6861670
24300,0,0,75,6855040
24400,0,0,76,6939740
24500,0,0,77,7024250
24600,0,0,77,7017460
24700,0,0,77,7010670
24800,0,0,78,7094840
24900,0,0,78,7087960
25000,0,0,78,7081080
25100,0,0,78,7074210
25200,0,0,78,7067340
25300,0,0,78,7060470
25400,0,0,78,7053610
25500,0,0,78,7046740
25600,0,0,78,7039880
25700,0,0,78,7033020
25800,0,0,78,7026160
25900,0,0,78,7019300
26000,0,0,78,7012450
26100,0,0,79,7095410
26200,0,0,79,7088470
26300,0,0,79,7081530
26400,0,0,79,7074600
26500,0,0,80,7157130
26600,0,0,80,7150110
26700,0,0,80,7143090
26800,0,0,80,7136080
26900,0,0,80,7129070
27000,0,0,80,7122060
27100,0,0,80,7115050
27200,0,0,80,7108040
27300,0,0,81,7189800
27400,0,0,81,7182710
27500,0,0,81,7175620
27600,0,0,81,7168540
27700,0,0,81,7161460
27800,0,0,81,7154380
27900,0,0,81,7147300
28000,0,0,81,7140220
28100,0,0,81,7133150
28200,0,0,82,7214050
28300,0,0,82,7206890
28400,0,0,82,7199740
28500,0,0,82,7192590
28600,0,0,82,7185440
28700,0,0,82,7178290
28800,0,0,82,7171140
28900,0,0,83,7251360
29000,0,0,84,7331410
29100,0,0,84,7324100
29200,0,0,84,7316790
29300,0,0,84,7309480
29400,0,0,84,7302170
29500,0,0,84,7294870
29600,0,0,84,7287570
29700,0,0,86,7453610
29800,0,0,86,7446140
29900,0,0,86,7438670
30000,0,0,86,7431200
30100,0,0,86,7423740
30200,0,0,86,7416280
30300,0,0,86,7408820
30400,0,0,86,7401370
30500,0,0,86,7393910
30600,0,0,86,7386460
30700,0,0,86,7379010
30800,0,0,86,7371570
30900,0,0,86,7364120
31000,0,0,86,7356680
31100,0,0,86,7349250
31200,0,0,86,7341810
31300,0,0,86,7334380
31400,0,0,86,7326950
31500,0,0,86,7319520
31600,0,0,86,7312090
31700,0,0,86,7304670
31800,0,0,86,7297250
31900,0,0,86,7289830
32000,0,0,86,7282420
32100,0,0,86,7275000
32200,0,0,86,7267590
32300,0,0,86,7260190
32400,0,0,87,7337120
32500,0,0,87,7329630
32600,0,0,87,7322140
32700,0,0,87,7314660
32800,0,0,87,7307180
32900,0,0,88,7383610
33000,0,0,88,7376050
33100,0,0,89,7452220
33200,0,0,90,7528230
33300,0,0,90,7520500
33400,0,0,90,7512780
33500,0,0,91,7588450
33600,0,0,91,7580650
33700,0,0,91,7572860
33800,0,0,91,7565060
33900,0,0,91,7557270
34000,0,0,91,7549480
34100,0,0,91,7541690
34200,0,0,91,7533910
34300,0,0,91,7526130
34400,0,0,91,7518350
34500,0,0,91,7510580
34600,0,0,91,7502800
34700,0,0,92,7577400
34800,0,0,92,7569550
34900,0,0,94,7726080
35000,0,0,94,7718070
35100,0,0,95,7792080
35200,0,0,95,7783980
35300,0,0,96,7857740
35400,0,0,96,7849570
35500,0,0,96,7841400
35600,0,0,96,7833230
35700,0,0,96,7825070
