x,y,z,score,score_d
23000,0,0,408,37760600
23100,0,0,407,37632000
23200,0,0,407,37595900
23300,0,0,407,37559900
23400,0,0,407,37523800
23500,0,0,407,37487800
23600,0,0,407,37451800
23700,0,0,407,37415800
23800,0,0,406,37288000
23900,0,0,406,37252100
24000,0,0,406,37216200
24100,0,0,406,37180400
24200,0,0,406,37144500
24300,0,0,405,37017200
24400,0,0,405,36981500
24500,0,0,404,36854500
24600,0,0,403,36727700
24700,0,0,403,36692200
24800,0,0,403,36656600
24900,0,0,402,36530200
25000,0,0,402,36494800
25100,0,0,402,36459400
25200,0,0,402,36424000
25300,0,0,402,36388600
25400,0,0,402,36353200
25500,0,0,402,36317800
25600,0,0,402,36282400
25700,0,0,402,36247100
25800,0,0,402,36211700
25900,0,0,402,36176400
26000,0,0,402,36141100
26100,0,0,402,36105700
26200,0,0,401,35980700
26300,0,0,401,35945500
26400,0,0,401,35910300
26500,0,0,401,35875100
26600,0,0,400,35750600
26700,0,0,400,35715500
26800,0,0,400,35680400
26900,0,0,400,35645300
27000,0,0,400,35610300
27100,0,0,400,35575200
27200,0,0,400,35540200
27300,0,0,400,35505200
27400,0,0,399,35381500
27500,0,0,399,35346600
27600,0,0,399,35311700
27700,0,0,399,35276800
27800,0,0,399,35241900
27900,0,0,399,35207100
28000,0,0,399,35172200
28100,0,0,399,35137400
28200,0,0,399,35102500
28300,0,0,398,34979800
28400,0,0,398,34945100
28500,0,0,398,34910400
28600,0,0,398,34875700
28700,0,0,398,34841000
28800,0,0,398,34806300
28900,0,0,398,34771600
29000,0,0,397,34649700
29100,0,0,396,34527900
29200,0,0,396,34493400
29300,0,0,396,34459000
29400,0,0,396,34424500
29500,0,0,396,34390100
29600,0,0,396,34355700
29700,0,0,396,34321300
29800,0,0,394,34113700
29900,0,0,394,34079500
30000,0,0,394,34045300
30100,0,0,394,34011100
30200,0,0,394,33976900
30300,0,0,394,33942700
30400,0,0,394,33908600
30500,0,0,394,33874400
30600,0,0,394,33840300
30700,0,0,394,33806200
30800,0,0,394,33772100
30900,0,0,394,33738000
31000,0,0,394,33703900
31100,0,0,394,33669800
31200,0,0,394,33635700
31300,0,0,394,33601700
31400,0,0,394,33567600
31500,0,0,394,33533600
31600,0,0,394,33499600
31700,0,0,394,33465600
31800,0,0,394,33431600
31900,0,0,394,33397600
32000,0,0,394,33363600
32100,0,0,394,33329700
32200,0,0,394,33295700
32300,0,0,394,33261800
32400,0,0,394,33227900
32500,0,0,393,33109700
32600,0,0,393,33075900
32700,0,0,393,33042100
32800,0,0,393,33008300
32900,0,0,393,32974500
33000,0,0,392,32856900
33100,0,0,392,32823300
33200,0,0,391,32706000
33300,0,0,390,32588900
33400,0,0,390,32555400
33500,0,0,390,32521900
33600,0,0,389,32405200
33700,0,0,389,32371900
33800,0,0,389,32338600
33900,0,0,389,32305200
34000,0,0,389,32271900
34100,0,0,389,32238700
34200,0,0,389,32205400
34300,0,0,389,32172100
34400,0,0,389,32138900
34500,0,0,389,32105600
34600,0,0,389,32072400
34700,0,0,389,32039200
34800,0,0,388,31923700
34900,0,0,388,31890600
35000,0,0,386,31693300
35100,0,0,386,31660400
35200,0,0,385,31545600
35300,0,0,385,31512800
35400,0,0,384,31398300
35500,0,0,384,31365600
35600,0,0,384,31332900
35700,0,0,384,31300300
35800,0,0,384,31267600
35900,0,0,384,31235000
36000,0,0,384,31202400
36100,0,0,384,31169800
36200,0,0,383,31056100
36300,0,0,382,30942600
36400,0,0,382,30910200
36500,0,0,382,30877900
