x,y,z,score,score_d
0,0,0,231,26202500
78000,0,0,465,23575900
79000,0,0,465,23331600
80000,0,0,465,23094100
81000,0,0,465,22863500
82000,0,0,465,22640200
128000,0,0,465,22640200
129000,0,0,465,22863500
130000,0,0,465,23094100
131000,0,0,465,23331600
132000,0,0,465,23575900
210000,0,0,234,26542800
105000,43000,0,0,0
104975,42956.8,0,0,0
105025,42956.8,0,0,0
105000,42913.6,0,0,0
100,0,0,696,78883500
200,0,0,696,78819100
300,0,0,696,78754700
400,0,0,696,78690300
500,0,0,696,78625900
600,0,0,696,78561500
700,0,0,696,78497200
800,0,0,696,78432800
900,0,0,696,78368400
1000,0,0,696,78304100
1100,0,0,696,78239800
1200,0,0,696,78175400
1300,0,0,696,78111100
1400,0,0,696,78046800
1500,0,0,696,77982500
1600,0,0,696,77918200
1700,0,0,696,77854000
1800,0,0,696,77789700
1900,0,0,696,77725400
2000,0,0,696,77661200
2100,0,0,696,77596900
2200,0,0,696,77532700
2300,0,0,696,77468500
2400,0,0,696,77404300
2500,0,0,696,77340100
2600,0,0,696,77275900
2700,0,0,696,77211700
2800,0,0,696,77147500
2900,0,0,696,77083300
3000,0,0,696,77019200
3100,0,0,696,76955000
3200,0,0,696,76890900
3300,0,0,696,76826800
3400,0,0,696,76762600
3500,0,0,696,76698500
3600,0,0,696,76634400
3700,0,0,696,76570300
3800,0,0,696,76506300
3900,0,0,696,76442200
4000,0,0,696,76378100
4100,0,0,696,76314100
4200,0,0,696,76250000
4300,0,0,696,76186000
4400,0,0,696,76122000
4500,0,0,696,76058000
4600,0,0,696,75993900
4700,0,0,696,75930000
4800,0,0,696,75866000
4900,0,0,696,75802000
5000,0,0,696,75738000
5100,0,0,696,75674100
5200,0,0,696,75610100
5300,0,0,696,75546200
5400,0,0,696,75482300
5500,0,0,696,75418400
5600,0,0,696,75354500
5700,0,0,696,75290600
5800,0,0,696,75226700
5900,0,0,696,75162800
6000,0,0,696,75098900
6100,0,0,696,75035100
6200,0,0,696,74971200
6300,0,0,696,74907400
6400,0,0,696,74843600
6500,0,0,696,74779800
6600,0,0,696,74716000
6700,0,0,696,74652200
6800,0,0,696,74588400
6900,0,0,696,74524600
7000,0,0,696,74460900
7100,0,0,696,74397100
7200,0,0,696,74333400
7300,0,0,696,74269600
7400,0,0,696,74205900
7500,0,0,696,74142200
7600,0,0,696,74078500
7700,0,0,696,74014800
7800,0,0,696,73951200
7900,0,0,696,73887500
8000,0,0,696,73823800
8100,0,0,696,73760200
8200,0,0,696,73696600
8300,0,0,696,73632900
8400,0,0,696,73569300
8500,0,0,696,73505700
8600,0,0,696,73442100
8700,0,0,696,73378600
8800,0,0,696,73315000
8900,0,0,696,73251400
9000,0,0,696,73187900
9100,0,0,696,73124400
9200,0,0,696,73060800
9300,0,0,696,72997300
9400,0,0,696,72933800
9500,0,0,696,72870300
9600,0,0,696,72806800
9700,0,0,696,72743400
9800,0,0,696,72679900
9900,0,0,696,72616500
10000,0,0,696,72553000
10100,0,0,696,72489600
10200,0,0,696,72426200
10300,0,0,696,72362800
10400,0,0,696,72299400
10500,0,0,696,72236000
10600,0,0,696,72172700
10700,0,0,696,72109300
10800,0,0,696,72046000
10900,0,0,696,71982600
11000,0,0,696,71919300
11100,0,0,696,71856000
11200,0,0,696,71792700
11300,0,0,696,71729400
11400,0,0,696,71666200
11500,0,0,696,71602900
11600,0,0,696,71539600
11700,0,0,696,71476400
11800,0,0,696,71413200
11900,0,0,696,71350000
12000,0,0,696,71286800
12100,0,0,696,71223600
12200,0,0,696,71160400
12300,0,0,696,71097200
12400,0,0,696,71034100
12500,0,0,696,70970900
12600,0,0,696,70907800
12700,0,0,696,70844700
12800,0,0,696,70781600
12900,0,0,696,70718500
13000,0,0,696,70655400
13100,0,0,696,70592300
13200,0,0,696,70529300
13300,0,0,696,70466200
13400,0,0,696,70403200
13500,0,0,696,70340200
13600,0,0,696,70277200
13700,0,0,696,70214200
13800,0,0,696,70151200
13900,0,0,696,70088200
14000,0,0,696,70025300
14100,0,0,696,69962300
14200,0,0,696,69899400
14300,0,0,696,69836500
14400,0,0,696,69773600
14500,0,0,696,69710700
14600,0,0,696,69647800
14700,0,0,696,69584900
14800,0,0,696,69522100
14900,0,0,696,69459200
15000,0,0,696,69396400
15100,0,0,696,69333600
15200,0,0,696,69270800
15300,0,0,696,69208000
15400,0,0,696,69145200
15500,0,0,696,69082400
15600,0,0,696,69019700
15700,0,0,696,68956900
15800,0,0,696,68894200
15900,0,0,696,68831500
16000,0,0,696,68768800
16100,0,0,696,68706100
16200,0,0,696,68643400
16300,0,0,696,68580800
16400,0,0,696,68518100
16500,0,0,696,68455500
16600,0,0,696,68392900
16700,0,0,696,68330300
16800,0,0,696,68267700
16900,0,0,696,68205100
17000,0,0,696,68142500
17100,0,0,696,68080000
17200,0,0,696,68017500
17300,0,0,696,67954900
17400,0,0,696,67892400
17500,0,0,696,67829900
17600,0,0,696,67767400
17700,0,0,696,67705000
17800,0,0,696,67642500
17900,0,0,696,67580100
18000,0,0,696,67517700
18100,0,0,696,67455200
18200,0,0,696,67392800
18300,0,0,696,67330500
18400,0,0,696,67268100
18500,0,0,696,67205700
18600,0,0,696,67143400
18700,0,0,696,67081100
18800,0,0,696,67018800
18900,0,0,696,66956500
19000,0,0,696,66894200
19100,0,0,696,66831900
19200,0,0,696,66769600
19300,0,0,696,66707400
19400,0,0,696,66645200
19500,0,0,696,66583000
19600,0,0,696,66520800
19700,0,0,696,66458600
19800,0,0,696,66396400
19900,0,0,696,66334300
20000,0,0,696,66272100
20100,0,0,696,66210000
20200,0,0,696,66147900
20300,0,0,696,66085800
20400,0,0,696,66023700
20500,0,0,696,65961700
20600,0,0,696,65899600
20700,0,0,696,65837600
20800,0,0,696,65775600
20900,0,0,696,65713600
21000,0,0,696,65651600
21100,0,0,696,65589600
21200,0,0,696,65527600
21300,0,0,696,65465700
21400,0,0,696,65403800
21500,0,0,696,65341900
21600,0,0,696,65280000
21700,0,0,696,65218100
21800,0,0,696,65156200
21900,0,0,696,65094400
22000,0,0,696,65032500
22100,0,0,696,64970700
22200,0,0,696,64908900
22300,0,0,696,64847100
22400,0,0,696,64785400
22500,0,0,696,64723600
22600,0,0,696,64661900
22700,0,0,696,64600200
22800,0,0,696,64538400
22900,0,0,696,64476800
23000,0,0,696,64415100
23100,0,0,696,64353400
23200,0,0,696,64291800
23300,0,0,696,64230200
23400,0,0,696,64168500
23500,0,0,696,64107000
23600,0,0,696,64045400
23700,0,0,696,63983800
23800,0,0,696,63922300
23900,0,0,696,63860700
24000,0,0,696,63799200
24100,0,0,696,63737700
24200,0,0,696,63676300
24300,0,0,696,63614800
24400,0,0,696,63553400
24500,0,0,696,63491900
24600,0,0,696,63430500
24700,0,0,696,63369100
24800,0,0,696,63307800
24900,0,0,696,63246400
25000,0,0,696,63185100
25100,0,0,696,63123700
25200,0,0,696,63062400
25300,0,0,696,63001100
25400,0,0,696,62939900
25500,0,0,696,62878600
25600,0,0,696,62817400
25700,0,0,696,62756200
25800,0,0,696,62694900
25900,0,0,696,62633800
26000,0,0,696,62572600
26100,0,0,696,62511400
26200,0,0,696,62450300
26300,0,0,696,62389200
26400,0,0,696,62328100
26500,0,0,696,62267000
26600,0,0,696,62206000
26700,0,0,696,62144900
26800,0,0,696,62083900
26900,0,0,696,62022900
27000,0,0,696,61961900
27100,0,0,696,61900900
27200,0,0,696,61840000
27300,0,0,696,61779000
27400,0,0,696,61718100
27500,0,0,696,61657200
27600,0,0,696,61596300
27700,0,0,696,61535500
27800,0,0,696,61474600
27900,0,0,696,61413800
28000,0,0,696,61353000
28100,0,0,696,61292200
28200,0,0,696,61231500
28300,0,0,696,61170700
28400,0,0,696,61110000
28500,0,0,696,61049300
28600,0,0,696,60988600
28700,0,0,696,60927900
28800,0,0,696,60867200
28900,0,0,696,60806600
29000,0,0,696,60746000
29100,0,0,696,60685400
29200,0,0,696,60624800
29300,0,0,696,60564300
29400,0,0,696,60503700
29500,0,0,696,60443200
29600,0,0,696,60382700
29700,0,0,696,60322200
29800,0,0,696,60261800
29900,0,0,696,60201300
30000,0,0,696,60140900
30100,0,0,696,60080500
30200,0,0,696,60020100
30300,0,0,696,59959800
30400,0,0,696,59899400
30500,0,0,696,59839100
30600,0,0,696,59778800
30700,0,0,696,59718500
30800,0,0,696,59658300
30900,0,0,696,59598000
31000,0,0,696,59537800
31100,0,0,696,59477600
31200,0,0,696,59417400
31300,0,0,696,59357300
31400,0,0,696,59297100
31500,0,0,696,59237000
31600,0,0,696,59176900
31700,0,0,696,59116900
31800,0,0,696,59056800
31900,0,0,696,58996800
32000,0,0,696,58936800
32100,0,0,696,58876800
32200,0,0,696,58816800
32300,0,0,696,58756900
32400,0,0,696,58696900
32500,0,0,696,58637000
32600,0,0,696,58577100
32700,0,0,696,58517300
32800,0,0,696,58457400
32900,0,0,696,58397600
33000,0,0,696,58337800
33100,0,0,696,58278100
33200,0,0,696,58218300
33300,0,0,696,58158600
33400,0,0,696,58098900
33500,0,0,696,58039200
33600,0,0,696,57979500
33700,0,0,696,57919900
33800,0,0,696,57860200
33900,0,0,696,57800600
34000,0,0,696,57741100
34100,0,0,696,57681500
34200,0,0,696,57622000
34300,0,0,696,57562500
34400,0,0,696,57503000
34500,0,0,696,57443500
34600,0,0,696,57384100
34700,0,0,696,57324700
34800,0,0,696,57265300
34900,0,0,696,57205900
35000,0,0,696,57146500
35100,0,0,696,57087200
35200,0,0,696,57027900
