SN:,x,y,z,z_dummy,score,score_d
SN:,-3633,1438,0,1.41491,5.80597,14149.1
SN:,-3679,1360,0,0.982041,3.88534,9820.41
SN:,-4026,752,0,1.41172,4.37389,14117.2
SN:,-4272,577,0,2.05357,6.54891,20535.7
SN:,-8693,572,0,0,0,0
SN:,-3983,-7959,0,0.0530528,1.33894,530.528
SN:,-3953,-7933,0,0.0576638,1.32278,576.638
SN:,-3932,-7883,0,0.069721,1.42242,697.21
SN:,-3926,-7669,0,0.0384788,0.546385,384.788
SN:,-3925,-7472,0,0.0590085,0.654744,590.085
SN:,-7940,137,0,0,0,0
SN:,-7911,59,0,0,0,0
SN:,-7980,1365,0,0.0208995,2.24722,208.995
SN:,-7981,1179,0,0.0256037,2.75304,256.037
SN:,-8105,1166,0,0.0272431,1.24958,272.431
SN:,-8031,534,0,0.0883382,1.18479,883.382
SN:,-7976,187,0,0,0,0
SN:,-8045,429,0,0,0,0
SN:,-6711,176,0,0,0,0
SN:,-6714,121,0,0,0,0
SN:,-6709,51,0,0,0,0
SN:,-6703,-19,0,0,0,0
SN:,-6702,-60,0,0,0,0
SN:,-6698,-169,0,0,0,0
SN:,-6702,-287,0,0,0,0
SN:,-6770,-381,0,0,0,0
SN:,-6816,-434,0,0,0,0
SN:,-6855,-474,0,0,0,0
SN:,-6877,-499,0,0,0,0
SN:,-6920,-545,0,0,0,0
SN:,-6985,-615,0,0,0,0
SN:,-7028,-665,0,0,0,0
SN:,-7075,-720,0,0,0,0
SN:,-7137,-789,0,0,0,0
SN:,-7486,-3980,0,0,0,0
SN:,-7461,-3913,0,0,0,0
SN:,-7423,-3838,0,0,0,0
SN:,-7407,-3803,0,0,0,0
SN:,-7368,-3720,0,0,0,0
SN:,-7332,-3621,0,0,0,0
SN:,-7299,-3549,0,0,0,0
SN:,-7277,-3499,0,0,0,0
SN:,-7261,-3448,0,0,0,0
SN:,-7229,-3188,0,0,0,0
SN:,-7212,-3002,0,0,0,0
SN:,-7194,-2775,0,0,0,0
SN:,-7182,-2728,0,0,0,0
SN:,-7169,-2679,0,0,0,0
