SN:,x,y,z,z_dummy,score,score_d
SN:,49100,0,0,248.245,30.8025,2.48245e+06
SN:,49200,0,0,251.053,31.1896,2.51053e+06
SN:,49300,0,0,253.85,31.5764,2.5385e+06
SN:,49400,0,0,256.659,31.9656,2.56659e+06
SN:,49500,0,0,259.458,32.3544,2.59458e+06
SN:,49600,0,0,262.246,32.7429,2.62246e+06
SN:,49700,0,0,265.022,33.1309,2.65022e+06
SN:,49800,0,0,267.788,33.5186,2.67788e+06
SN:,49900,0,0,270.543,33.9059,2.70543e+06
SN:,50000,0,0,273.287,34.2928,2.73287e+06
SN:,50100,0,0,276.02,34.6792,2.7602e+06
SN:,50200,0,0,278.742,35.0653,2.78742e+06
SN:,50300,0,0,281.453,35.4509,2.81453e+06
SN:,50400,0,0,284.176,35.839,2.84176e+06
SN:,50500,0,0,286.887,36.2266,2.86887e+06
SN:,50600,0,0,289.587,36.6139,2.89587e+06
SN:,50700,0,0,292.276,37.0006,2.92276e+06
SN:,50800,0,0,294.954,37.387,2.94954e+06
SN:,50900,0,0,297.643,37.7757,2.97643e+06
SN:,51000,0,0,300.343,38.1668,3.00343e+06
SN:,51100,0,0,303.032,38.5575,3.03032e+06
SN:,51200,0,0,305.754,38.9534,3.05754e+06
SN:,51300,0,0,308.486,39.3517,3.08486e+06
SN:,51400,0,0,311.207,39.7495,3.11207e+06
SN:,51500,0,0,313.917,40.1468,3.13917e+06
SN:,51600,0,0,316.614,40.5437,3.16614e+06
SN:,51700,0,0,319.3,40.9401,3.193e+06
SN:,51800,0,0,322.019,41.3416,3.22019e+06
SN:,51900,0,0,324.726,41.7428,3.24726e+06
SN:,52000,0,0,327.465,42.149,3.27465e+06
SN:,52100,0,0,330.192,42.5548,3.30192e+06
SN:,52200,0,0,332.929,42.963,3.32929e+06
SN:,52300,0,0,335.654,43.3706,3.35654e+06
SN:,52400,0,0,338.367,43.7777,3.38367e+06
SN:,52500,0,0,341.068,44.1843,3.41068e+06
SN:,52600,0,0,343.756,44.5903,3.43756e+06
SN:,52700,0,0,346.454,44.9987,3.46454e+06
SN:,52800,0,0,349.162,45.4094,3.49162e+06
SN:,52900,0,0,351.879,45.8223,3.51879e+06
SN:,53000,0,0,354.606,46.2376,3.54606e+06
SN:,53100,0,0,357.341,46.6552,3.57341e+06
SN:,53200,0,0,360.065,47.0722,3.60065e+06
SN:,53300,0,0,362.776,47.4887,3.62776e+06
SN:,53400,0,0,365.495,47.9074,3.65495e+06
SN:,53500,0,0,368.224,48.3285,3.68224e+06
SN:,53600,0,0,370.941,48.749,3.70941e+06
SN:,53700,0,0,373.644,49.1689,3.73644e+06
SN:,53800,0,0,376.356,49.5911,3.76356e+06
SN:,53900,0,0,379.077,50.0155,3.79077e+06
SN:,54000,0,0,381.807,50.4422,3.81807e+06
SN:,54100,0,0,384.545,50.8712,3.84545e+06
SN:,54200,0,0,387.291,51.3024,3.87291e+06
SN:,54300,0,0,390.046,51.7358,3.90046e+06
SN:,54400,0,0,392.809,52.1714,3.92809e+06
SN:,54500,0,0,395.558,52.6065,3.95558e+06
SN:,54600,0,0,398.337,53.0466,3.98337e+06
SN:,54700,0,0,401.123,53.4889,4.01123e+06
SN:,54800,0,0,403.896,53.9306,4.03896e+06
SN:,54900,0,0,406.677,54.3745,4.06677e+06
SN:,55000,0,0,409.444,54.8178,4.09444e+06
SN:,55100,0,0,412.198,55.2604,4.12198e+06
SN:,55200,0,0,414.938,55.7024,4.14938e+06
SN:,55300,0,0,417.685,56.1467,4.17685e+06
SN:,55400,0,0,420.419,56.5902,4.20419e+06
SN:,55500,0,0,423.16,57.036,4.2316e+06
SN:,55600,0,0,425.887,57.481,4.25887e+06
SN:,55700,0,0,428.6,57.9254,4.286e+06
SN:,55800,0,0,431.3,58.3692,4.313e+06
SN:,55900,0,0,434.007,58.8151,4.34007e+06
SN:,56000,0,0,436.7,59.2604,4.367e+06
SN:,56100,0,0,439.441,59.7134,4.39441e+06
SN:,56200,0,0,442.19,60.1687,4.4219e+06
SN:,56300,0,0,444.924,60.6232,4.44924e+06
SN:,56400,0,0,447.644,61.077,4.47644e+06
SN:,56500,0,0,450.35,61.5302,4.5035e+06
SN:,56600,0,0,453.041,61.9826,4.53041e+06
SN:,56700,0,0,455.74,62.4372,4.5574e+06
SN:,56800,0,0,458.424,62.8911,4.58424e+06
SN:,56900,0,0,461.114,63.3471,4.61114e+06
SN:,57000,0,0,463.79,63.8024,4.6379e+06
SN:,57100,0,0,466.472,64.2598,4.66472e+06
SN:,57200,0,0,469.16,64.7192,4.6916e+06
SN:,57300,0,0,471.834,65.178,4.71834e+06
SN:,57400,0,0,474.513,65.6388,4.74513e+06
SN:,57500,0,0,477.178,66.0989,4.77178e+06
SN:,57600,0,0,479.829,66.5582,4.79829e+06
SN:,57700,0,0,482.485,67.0196,4.82485e+06
SN:,57800,0,0,485.126,67.4803,4.85126e+06
SN:,57900,0,0,487.794,67.9459,4.87794e+06
SN:,58000,0,0,490.487,68.4163,4.90487e+06
SN:,58100,0,0,493.166,68.886,4.93166e+06
SN:,58200,0,0,495.829,69.355,4.95829e+06
SN:,58300,0,0,498.498,69.826,4.98498e+06
SN:,58400,0,0,501.192,70.3018,5.01192e+06
SN:,58500,0,0,503.871,70.7769,5.03871e+06
SN:,58600,0,0,506.535,71.2512,5.06535e+06
SN:,58700,0,0,509.184,71.7247,5.09184e+06
SN:,58800,0,0,511.837,72.2001,5.11837e+06
SN:,58900,0,0,514.475,72.6748,5.14475e+06
SN:,59000,0,0,517.098,73.1487,5.17098e+06
SN:,59100,0,0,526.765,74.6217,5.26765e+06
SN:,59200,0,0,529.347,75.0939,5.29347e+06
SN:,59300,0,0,538.954,76.5653,5.38954e+06
SN:,59400,0,0,548.544,78.0386,5.48544e+06
SN:,59500,0,0,551.1,78.5139,5.511e+06
SN:,59600,0,0,567.658,80.9884,5.67658e+06
SN:,59700,0,0,570.183,81.4648,5.70183e+06
SN:,59800,0,0,579.68,82.9402,5.7968e+06
SN:,59900,0,0,582.163,83.4148,5.82163e+06
SN:,60000,0,0,584.63,83.8885,5.8463e+06
SN:,60100,0,0,594.04,85.3613,5.9404e+06
SN:,60200,0,0,596.485,85.836,5.96485e+06
SN:,60300,0,0,605.873,87.3125,6.05873e+06
SN:,60400,0,0,622.154,89.7882,6.22154e+06
SN:,60500,0,0,624.54,90.2628,6.2454e+06
SN:,60600,0,0,640.748,92.7394,6.40748e+06
SN:,60700,0,0,643.101,93.2149,6.43101e+06
SN:,60800,0,0,659.217,95.6895,6.59217e+06
SN:,60900,0,0,661.517,96.1631,6.61517e+06
SN:,61000,0,0,677.559,98.6384,6.77559e+06
SN:,61100,0,0,686.705,100.116,6.86705e+06
SN:,61200,0,0,688.964,100.592,6.88964e+06
SN:,61300,0,0,691.207,101.067,6.91207e+06
SN:,61400,0,0,693.433,101.541,6.93433e+06
SN:,61500,0,0,695.681,102.019,6.95681e+06
SN:,61600,0,0,711.55,104.5,7.1155e+06
SN:,61700,0,0,720.6,105.984,7.206e+06
SN:,61800,0,0,736.403,108.468,7.36403e+06
SN:,61900,0,0,745.37,109.951,7.4537e+06
SN:,62000,0,0,747.549,110.435,7.47549e+06
SN:,62100,0,0,756.47,111.919,7.5647e+06
SN:,62200,0,0,765.353,113.401,7.65353e+06
SN:,62300,0,0,767.46,113.882,7.6746e+06
SN:,62400,0,0,769.568,114.364,7.69568e+06
SN:,62500,0,0,771.659,114.846,7.71659e+06
SN:,62600,0,0,793.859,118.326,7.93859e+06
SN:,62700,0,0,795.885,118.805,7.95885e+06
SN:,62800,0,0,797.912,119.285,7.97912e+06
SN:,62900,0,0,799.94,119.768,7.9994e+06
SN:,63000,0,0,801.969,120.251,8.01969e+06
SN:,63100,0,0,803.998,120.737,8.03998e+06
SN:,63200,0,0,806.01,121.221,8.0601e+06
SN:,63300,0,0,808.023,121.707,8.08023e+06
SN:,63400,0,0,816.647,123.191,8.16647e+06
SN:,63500,0,0,818.614,123.675,8.18614e+06
SN:,63600,0,0,827.191,125.16,8.27191e+06
SN:,63700,0,0,829.131,125.643,8.29131e+06
SN:,63800,0,0,837.641,127.125,8.37641e+06
SN:,63900,0,0,839.535,127.607,8.39535e+06
SN:,64000,0,0,841.41,128.086,8.4141e+06
SN:,64100,0,0,849.826,129.565,8.49826e+06
SN:,64200,0,0,851.673,130.045,8.51673e+06
SN:,64300,0,0,860.042,131.523,8.60042e+06
SN:,64400,0,0,868.372,133.001,8.68372e+06
SN:,64500,0,0,876.682,134.479,8.76682e+06
SN:,64600,0,0,878.445,134.957,8.78445e+06
SN:,64700,0,0,886.688,136.433,8.86688e+06
SN:,64800,0,0,894.893,137.908,8.94893e+06
SN:,64900,0,0,896.599,138.384,8.96599e+06
SN:,65000,0,0,904.774,139.861,9.04774e+06
SN:,65100,0,0,906.451,140.338,9.06451e+06
SN:,65200,0,0,908.109,140.812,9.08109e+06
SN:,65300,0,0,916.188,142.286,9.16188e+06
SN:,65400,0,0,917.799,142.758,9.17799e+06
SN:,65500,0,0,919.392,143.228,9.19392e+06
SN:,65600,0,0,933.784,145.697,9.33784e+06
SN:,65700,0,0,935.337,146.168,9.35337e+06
SN:,65800,0,0,936.872,146.637,9.36872e+06
SN:,65900,0,0,938.388,147.104,9.38388e+06
SN:,66000,0,0,939.885,147.57,9.39885e+06
SN:,66100,0,0,941.382,148.038,9.41382e+06
SN:,66200,0,0,949.227,149.507,9.49227e+06
SN:,66300,0,0,957.069,150.979,9.57069e+06
SN:,66400,0,0,964.872,152.451,9.64872e+06
SN:,66500,0,0,966.335,152.924,9.66335e+06
SN:,66600,0,0,980.415,155.398,9.80415e+06
SN:,66700,0,0,981.837,155.87,9.81837e+06
SN:,66800,0,0,995.819,158.341,9.95819e+06
SN:,66900,0,0,997.201,158.814,9.97201e+06
SN:,67000,0,0,998.564,159.285,9.98564e+06
SN:,67100,0,0,999.943,159.759,9.99943e+06
SN:,67200,0,0,1007.57,161.235,1.00757e+07
SN:,67300,0,0,1008.92,161.71,1.00892e+07
SN:,67400,0,0,1016.49,163.186,1.01649e+07
SN:,67500,0,0,1017.81,163.66,1.01781e+07
SN:,67600,0,0,1037.73,167.132,1.03773e+07
SN:,67700,0,0,1039,167.606,1.039e+07
SN:,67800,0,0,1040.24,168.078,1.04024e+07
SN:,67900,0,0,1047.65,169.549,1.04765e+07
SN:,68000,0,0,1048.84,170.017,1.04884e+07
SN:,68100,0,0,1050.04,170.487,1.05004e+07
SN:,68200,0,0,1057.38,171.958,1.05738e+07
SN:,68300,0,0,1058.56,172.431,1.05856e+07
SN:,68400,0,0,1065.85,173.901,1.06585e+07
SN:,68500,0,0,1066.98,174.37,1.06698e+07
SN:,68600,0,0,1074.2,175.837,1.0742e+07
SN:,68700,0,0,1075.28,176.303,1.07528e+07
SN:,68800,0,0,1076.37,176.772,1.07637e+07
SN:,68900,0,0,1089.6,179.24,1.0896e+07
SN:,69000,0,0,1090.64,179.706,1.09064e+07
SN:,69100,0,0,1097.75,181.175,1.09775e+07
SN:,69200,0,0,1104.83,182.646,1.10483e+07
SN:,69300,0,0,1105.86,183.118,1.10586e+07
SN:,69400,0,0,1106.86,183.588,1.10686e+07
SN:,69500,0,0,1107.86,184.06,1.10786e+07
SN:,69600,0,0,1108.84,184.529,1.10884e+07
SN:,69700,0,0,1115.8,185.997,1.1158e+07
SN:,69800,0,0,1116.76,186.468,1.11676e+07
SN:,69900,0,0,1123.68,187.938,1.12368e+07
SN:,70000,0,0,1130.58,189.408,1.13058e+07
SN:,70100,0,0,1143.42,191.88,1.14342e+07
SN:,70200,0,0,1144.31,192.353,1.14431e+07
SN:,70300,0,0,1145.18,192.824,1.14518e+07
SN:,70400,0,0,1157.89,195.293,1.15789e+07
SN:,70500,0,0,1158.71,195.76,1.15871e+07
SN:,70600,0,0,1159.51,196.228,1.15951e+07
SN:,70700,0,0,1160.3,196.694,1.1603e+07
SN:,70800,0,0,1161.08,197.161,1.16108e+07
SN:,70900,0,0,1161.88,197.632,1.16188e+07
SN:,71000,0,0,1162.66,198.101,1.16266e+07
SN:,71100,0,0,1169.29,199.571,1.16929e+07
SN:,71200,0,0,1170.06,200.044,1.17006e+07
SN:,71300,0,0,1170.82,200.516,1.17082e+07
SN:,71400,0,0,1177.38,201.986,1.17738e+07
SN:,71500,0,0,1178.08,202.454,1.17808e+07
SN:,71600,0,0,1178.78,202.922,1.17878e+07
SN:,71700,0,0,1179.46,203.389,1.17946e+07
SN:,71800,0,0,1180.13,203.857,1.18013e+07
SN:,71900,0,0,1180.78,204.323,1.18078e+07
SN:,72000,0,0,1187.21,205.792,1.18721e+07
SN:,72100,0,0,1193.62,207.262,1.19362e+07
SN:,72200,0,0,1194.26,207.733,1.19426e+07
SN:,72300,0,0,1194.87,208.203,1.19487e+07
SN:,72400,0,0,1195.47,208.67,1.19547e+07
SN:,72500,0,0,1201.76,210.135,1.20176e+07
SN:,72600,0,0,1208.03,211.601,1.20803e+07
SN:,72700,0,0,1214.29,213.07,1.21429e+07
SN:,72800,0,0,1220.51,214.538,1.22051e+07
SN:,72900,0,0,1221,215.004,1.221e+07
SN:,73000,0,0,1232.82,217.467,1.23282e+07
SN:,73100,0,0,1233.26,217.929,1.23326e+07
SN:,73200,0,0,1233.69,218.391,1.23369e+07
SN:,73300,0,0,1239.75,219.854,1.23975e+07
SN:,73400,0,0,1245.81,221.32,1.24581e+07
SN:,73500,0,0,1251.84,222.787,1.25184e+07
SN:,73600,0,0,1257.86,224.258,1.25786e+07
SN:,73700,0,0,1258.27,224.733,1.25827e+07
SN:,73800,0,0,1258.67,225.205,1.25867e+07
SN:,73900,0,0,1259.04,225.675,1.25904e+07
SN:,74000,0,0,1270.52,228.143,1.27052e+07
SN:,74100,0,0,1270.85,228.611,1.27085e+07
SN:,74200,0,0,1271.16,229.081,1.27116e+07
SN:,74300,0,0,1277,230.548,1.277e+07
SN:,74400,0,0,1293.87,234.016,1.29387e+07
SN:,74500,0,0,1294.13,234.487,1.29413e+07
SN:,74600,0,0,1299.89,235.959,1.29989e+07
SN:,74700,0,0,1305.61,237.428,1.30561e+07
SN:,74800,0,0,1305.8,237.896,1.3058e+07
SN:,74900,0,0,1316.93,240.361,1.31693e+07
SN:,75000,0,0,1317.06,240.824,1.31706e+07
SN:,75100,0,0,1317.18,241.287,1.31718e+07
SN:,75200,0,0,1322.78,242.757,1.32278e+07
SN:,75300,0,0,1322.91,243.227,1.32291e+07
SN:,75400,0,0,1323.03,243.698,1.32303e+07
SN:,75500,0,0,1328.55,245.167,1.32855e+07
SN:,75600,0,0,1328.62,245.633,1.32862e+07
SN:,75700,0,0,1334.07,247.097,1.33407e+07
SN:,75800,0,0,1334.08,247.559,1.33408e+07
SN:,75900,0,0,1334.09,248.021,1.33409e+07
SN:,76000,0,0,1334.08,248.481,1.33408e+07
SN:,76100,0,0,1339.41,249.938,1.33941e+07
SN:,76200,0,0,1344.69,251.393,1.34469e+07
SN:,76300,0,0,1344.6,251.846,1.3446e+07
SN:,76400,0,0,1344.48,252.296,1.34448e+07
SN:,76500,0,0,1344.35,252.747,1.34435e+07
SN:,76600,0,0,1354.82,255.196,1.35482e+07
SN:,76700,0,0,1359.95,256.645,1.35995e+07
SN:,76800,0,0,1359.76,257.095,1.35976e+07
SN:,76900,0,0,1359.55,257.542,1.35955e+07
SN:,77000,0,0,1359.32,257.986,1.35932e+07
SN:,77100,0,0,1359.06,258.429,1.35906e+07
SN:,77200,0,0,1358.8,258.871,1.3588e+07
SN:,77300,0,0,1358.54,259.315,1.35854e+07
SN:,77400,0,0,1358.26,259.758,1.35826e+07
SN:,77500,0,0,1357.97,260.199,1.35797e+07
SN:,77600,0,0,1357.66,260.641,1.35766e+07
SN:,77700,0,0,1357.34,261.08,1.35734e+07
SN:,77800,0,0,1357,261.517,1.357e+07
