 ,000232,003000,003010,003020,003030,003040,003050,003060,004000,004010,004020,005000,005010,005020,005030,005040,006000,006010,006020,006030,006040,007000,007010,007020,007030,007040,007050,007060,007070,007080,007090,007100,007110,008777,008878,009161,009743,009760,009761,009823,010305,011100,011101,011102,011341,011367,011388,020011,020012,020014,020019,020020,020031,020105,020124,020125,020139,020153,900001,900004,900007,900010,900014,900016,900019,900022,900025,900028,900032,900034,900037,900040,900044,900046,900049,900052,900055,900058,900061,900064,900067,900070,900073,900076,900079,900082,900085,900088,900091,900094,900097,900100,900103,900106,900109,900112,900115,900118,900121,900124,900127,900130,900133,900136,900139,900142,900145,900148,900151,900154,900157,900160,900163,900166,900169,900172,900175,900178,900181,900184,900187,900190,900193,900196,900199,900202,900205,900208,900211,900214,900217,900220,900223,900226,900229,900232,900235,900238,900241,900244,900247,900250,900253,900256,
300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0469167,0,0,0,0,0,0.0230833,0,0.0240833,0,0,0,0,0,0,0,0,0.0599167,0,0,0,0,0,0,0,0,1.37256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.572222,0,0,0.697222,2.61389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.7727,0,0.105111,0,0.378889,0,0,0,0,7.13167,0,0,0,0,0,0,0,0,0,0,10.3376,0,0,0,0.728444,inf,0,1.826,0,0,0,1.84556,0,0,0,0.524333,0,0,3.48578,0,
600000,0,0,0,0,inf,0,0.291583,0,0.257,0,0,0,0,inf,0,0,0.00708333,0.193917,0.0738333,0,0,0,0,0,0,0,0,0.416583,0,0,0,0,0,0.435917,0.181,0,0.839,0,0,0,0.307583,0,0.27075,0.00283333,0.485394,0,0,0,0.01225,0.05075,0.0493333,0.0354167,0,0.60425,0,0.414833,0.279583,0.44425,0,0,1.52289,0,3.66667,0.548778,0,0,0,0,3.59333,0,0,0,0,0,0,0,0,0,1.45694,0,0,2.08333,0,1.07569,2.08333,4.16389,0,0.901,0.985111,1.98889,3.34767,0,0.361111,4.39167,0,0,0,0,0,2.59356,4.98544,0,0,0,46.6742,0,6.13067,0,12.188,0,1.18311,0,0,inf,2.42631,0,0,0,0,0,0,0,4.74711,9.01144,50.2598,0,0,1.08778,8.85867,11,0,40.2062,0,0,0,17.8444,0,6.864,0,inf,0,1.88833,32.9939,inf,
900000,2.37967,0.339583,0.531917,0.0833333,1.33767,0.215917,2.51792,0.345167,3.58383,0.4955,0.0220833,0,0.0834167,inf,0,0,1.27258,1.77667,1.10475,0,0,0,0,0,0,0,0,1.99908,0.0305833,0.57475,0.79325,0,0,1.16333,1.10858,0.528583,1.51258,0.286083,0,0,1.06292,0.287417,0.845917,0.642333,1.30167,0,0,0.04025,1.228,0.344389,3.20287,0.846333,0,1.28883,0,1.92269,1.047,0.777417,0,0.491111,6.47778,2.2325,3.66544,3.66667,2.288,0,0,1.03889,3.66544,0,0,3.55056,0,0,0,0.711333,0,0,2.08333,0,0,2.08333,0,2.08333,2.08333,4.16667,inf,1,3.66667,4.04306,3.66544,0,1.66667,12.4986,0,0.332444,0,0,0,6.80044,22.1772,0,1.44711,0,75.3378,0,7.87111,0,23.5999,0,inf,0,0,51.1194,9.89878,2.56911,0,1.68667,0,1.87,0,0,13.431,24.706,87.4757,0,0,9.603,24.0387,10.9279,0,inf,0,0,2.629,41.3698,0,44.7529,0,54.5453,0,23.3383,69.1411,20.0114,
1200000,8.75442,2.924,1.91967,1.32483,3.49142,1.53825,6.81397,1.68058,inf,10.2726,0.845667,0,0.6545,inf,0.00241667,0,4.25408,inf,3.75117,0.41375,0,0,0,0,0,0,0,8.72283,1.188,4.24392,3.12291,0,0,inf,3.37208,1.41267,1.73875,0.755333,0.32825,0.217667,1.83549,0.836333,2.67839,1.97417,1.5,0.48625,0.05425,0.25,3.51289,0.967583,12.1761,4.76517,0,2.71675,0.054,4.29577,inf,1.79961,0.327556,1.66667,7.33089,2.5,3.66544,1.33467,3.66544,0,2.25378,2.08333,3.66667,0,0,3.18756,1.42639,0,0,3.66667,0,0,2.08333,0,0,2.08264,0,2.08333,2.08264,4.16528,4.16667,1,3.66544,4.16597,3.66667,0,1.66667,12.4972,0,3.66667,0,0,0,10.1787,31.1373,0.864111,3.66667,0,71.6784,0,30.5922,0,24.3503,0,55.2726,0,0,65.2517,17.1918,26.939,0,4.58944,0,3.66667,0,0,8.00556,45.8712,87.9756,0,0,15.1788,20.2082,17.1087,0,86.8434,0.861667,0,10.78,inf,0,85.3722,1.58889,69.6623,1.50333,49.808,84.6181,32.2447,
1500000,15.6978,6.24456,inf,2.53247,16.4276,2.34025,12.3704,4.03973,inf,inf,2.84295,0.521667,7.9962,inf,0.950113,0.748583,8.07886,24.7987,11.7569,inf,0.706834,0,0,0,0,0,0,18.3644,4.20006,inf,5.88719,0,0,3.85458,4.97275,2.66231,2.25125,1.19325,0.859806,0.765917,2.87417,1.75264,inf,3.39439,1.72408,1.07042,0.564444,0.787639,5.32789,1.21111,20.6814,9.21175,0,4.19922,0.658667,8.59514,4.43503,2.04192,3.66667,1.66667,7.33333,2.49917,3.66667,0,3.66667,0,3.66667,2.08333,3.66544,0,0.287778,4.42322,2.08333,0,0,2.43467,0,0,2.08264,2.78056,0,2.08333,0,2.08264,2.08333,4.16667,4.16528,1,3.66667,4.16597,3.66544,0.444889,1.66667,12.4958,0.690556,2.30511,0,0,0,14.784,35.4359,3.66667,5.181,0.546333,84.084,0,77.6935,0,34.1701,0,55.3447,0,0,52.1156,19.9809,29.3724,0,13.761,0.800556,0.00366667,0,0,3.66667,69.256,87.9879,0,0,8.18033,12.1709,31.4808,0,inf,3.66667,0,9.34144,66.2881,4.43667,81.9133,5.25189,81.5748,9.28156,74.2867,88.2552,29.183,
1800000,25.3746,11.6781,inf,4.68322,inf,4.74619,19.7971,inf,18.1058,57.2715,8.14583,6.26667,19.0046,59.363,6.06314,3.24096,13.2276,inf,20.1771,inf,2.58297,0,0,0,0,0,0,29.1657,9.27993,11.8718,10.4203,0,0,5.58617,6.14464,4.04197,3.306,1.90733,1.99267,1.38283,4.03314,2.46675,6.42628,5.23033,1.91767,2.47191,1.61027,1.97642,6.95008,1.99856,29.9038,13.9326,0,5.56056,1.45217,11.9833,8.08978,3.42961,3.66544,1.66667,7.33089,2.5,3.66422,0,3.66422,0.0647778,3.66544,2.08264,3.66667,0,1.66667,7.33211,2.08333,0,0,0,2.43467,0,2.08333,2.77933,0,2.08333,0,2.08333,2.08333,4.16528,4.16528,1,3.66544,4.16667,3.66667,3.66667,1.66611,12.4986,1.66667,0,0,0,0,12.5987,26.1531,5.52322,1.892,7.33333,81.1629,0,87.9841,1.84678,44.0574,0,55.5414,3.31344,0,35.8734,inf,32.7947,0,16.8772,6.56578,0,0,0,3.27433,81.3829,87.9822,0.634333,0,12.1354,16.038,40.2038,0,87.9912,1.023,0,4.58944,83.8273,17.6318,80.0348,7.854,80.0666,6.68678,87.9768,87.9878,31.7399,
2100000,inf,18.3528,inf,10.3951,inf,8.47578,28.7458,11.9931,25.9789,inf,13.6281,17.6191,33.5467,inf,13.2328,7.42539,20.5299,inf,inf,66.4065,5.49309,0,0,0,0,0,0,39.7264,13.0505,15.2064,15.0502,0,0,8.06225,7.69744,5.0155,4.51983,2.64375,2.95456,2.68847,6.81908,4.24733,8.52619,6.41906,3.32708,4.19381,2.336,3.12347,8.67428,4.59081,39.3009,17.848,0,7.53164,2.05061,16.9881,12.0415,4.89758,3.66667,1.66611,7.33211,2.5,3.66667,0,3.66667,3.66667,2.66689,2.08333,3.66544,0,1.66667,5.225,2.08264,0,0,0,3.66667,0,2.08333,0,0,2.08333,0,2.08333,2.08333,4.16667,4.16667,1,3.66667,4.16667,3.66422,1.45444,1.66667,12.4972,1.66667,inf,2.60972,0,0,3.21689,37.3108,9.98433,1.122,3.23644,74.1217,2.29533,inf,9.06889,inf,0,45.7673,6.61711,0,21.8717,11.2298,25.8758,0,23.3408,7.17322,2.54711,0,0,3.66667,81.3132,87.9804,3.66667,0,14.1668,24.5047,46.8588,0,87.9719,0,0,7.33333,71.6369,27.3961,73.4217,3.59211,55.7617,0,inf,87.978,60.9314,
2400000,inf,27.8034,35.6102,17.2413,93.6384,12.7921,inf,18.8376,inf,inf,19.1412,33.9575,inf,inf,21.0246,14.0831,inf,inf,42.8784,92.387,10.7678,0,0,0,0,0,0,50.3401,17.4236,inf,19.8447,0,0,10.7193,9.50875,6.38789,5.60142,3.81958,4.92347,3,8.93525,5.52172,10.6593,7.71889,4.26583,5.50817,3.41076,4.81058,11.2256,6.40511,49.438,23.9379,0,9.12206,3.81997,22.2167,16.991,6.41461,3.66544,1.66667,7.33211,2.49917,3.66422,0,3.66544,1.86633,0,2.08333,3.66667,0,1.66667,2.20122,2.08333,0,0,0,3.66422,0,2.08194,0,0,2.08264,0,2.08333,2.08264,4.16389,4.16389,1,3.66544,4.16597,3.66667,0,1.66667,12.4931,1.66667,3.66667,4.16528,0,0,7.39322,45.6414,21.2923,10.3449,0,53.8291,6.52178,inf,9.57244,80.4315,0,29.9775,8.899,0,23.0633,16.2189,19.877,0,37.5173,2.64,3.14111,0,0,5.35802,71.632,87.9857,2.67789,0,15.5833,15.7667,40.9954,0,87.9792,0,0,7.25756,inf,29.2857,76.5869,3.66667,56.6378,2.28433,87.9817,87.978,inf,
2700000,inf,inf,inf,inf,inf,18.6571,46.2539,26.4216,44.7095,136.935,inf,inf,71.1367,inf,27.9439,inf,52.5405,168.359,54.7957,inf,16.3473,0,0,0,0,0,0,inf,inf,22.3728,22.6393,0,0,14.5203,11.6883,9.07164,6.27525,7.1122,6.87869,inf,10.6354,8.274,13.9433,9.73203,6.40325,6.94753,inf,inf,14.0429,8.36822,59.5466,inf,0,inf,6.83983,29.7449,18.8968,8.67572,3.66422,1.66667,7.33211,2.5,3.66667,0,3.66667,0,0,2.08264,3.66544,0.970444,0.877778,0.572,2.08333,0,0,0,3.66667,0,2.08333,0,0,2.08333,0,2.08264,2.08333,4.16528,4.16528,0.999667,3.66667,4.16597,3.66544,0,1.66667,12.507,1.66611,3.24011,4.16667,0,0,7.711,55.8496,25.1741,17.6868,0,73.1708,10.2361,87.9792,10.4476,87.8338,0,37.1128,5.75789,0,47.9662,11.8543,22.1674,0,31.867,6.96911,3.54078,0,0,11,67.7253,87.9768,0,0,14.8011,12.0682,42.2706,0,87.9817,0,0,4.08589,87.9878,29.1008,82.5049,2.41756,67.9287,15.829,87.9768,87.9832,21.1506,
