1, 174, 41, -5, 300000
2, 41, 174, -5, 300000
3, 130, 20166, -5, 300000
4, 20166, 130, -5, 300000
5, 48, 111, -5, 300000
6, 111, 48, -5, 300000
7, 113, 52, -5, 300000
8, 52, 113, -5, 300000
9, 6020, 96, -5, 300000
10, 96, 6020, -5, 300000
11, 62, 26, -5, 300000
12, 26, 62, -5, 300000
13, 5, 265, -5, 300000
14, 265, 5, -5, 300000
15, 18, 173, -5, 300000
16, 173, 18, -5, 300000
17, 168, 14, -5, 300000
18, 14, 168, -5, 300000
19, 63, 66, -5, 300000
20, 66, 63, -5, 300000
21, 279, 95, -5, 300000
22, 95, 279, -5, 300000
23, 110, 109, -5, 300000
24, 109, 110, -5, 300000
25, 144, 242, -5, 300000
26, 242, 144, -5, 300000
27, 78, 138, -5, 300000
28, 138, 78, -5, 300000
29, 136, 135, -5, 300000
30, 135, 136, -5, 300000
31, 76, 75, -5, 300000
32, 75, 76, -5, 300000
33, 97, 202, -5, 300000
34, 202, 97, -5, 300000
35, 45, 99, -5, 300000
36, 99, 45, -5, 300000
37, 54, 55, -5, 300000
38, 55, 54, -5, 300000
39, 89, 91, -5, 300000
40, 91, 89, -5, 300000
41, 206, 56, -5, 300000
42, 56, 206, -5, 300000
43, 57, 207, -5, 300000
44, 207, 57, -5, 300000
45, 127, 125, -5, 300000
46, 125, 127, -5, 300000
47, 285, 123, -5, 300000
48, 123, 285, -5, 300000
49, 128, 129, -5, 300000
50, 129, 128, -5, 300000
51, 189, 188, -5, 300000
52, 188, 189, -5, 300000
53, 238, 274, -5, 300000
54, 274, 238, -5, 300000
55, 20164, 20163, -5, 300000
56, 20163, 20164, -5, 300000
57, 8515, 20159, -5, 300000
58, 20159, 8515, -5, 300000
59, 20156, 10859, -5, 300000
60, 10859, 20156, -5, 300000
61, 20133, 20134, -5, 300000
62, 20134, 20133, -5, 300000
63, 142, 79, -5, 300000
64, 79, 142, -5, 300000
65, 20161, 10866, -5, 300000
66, 10866, 20161, -5, 300000
67, 20102, 11347, -5, 300000
68, 11347, 20102, -5, 300000
69, 9800, 11379, -5, 300000
70, 11379, 9800, -5, 300000
71, 20165, 20163, -5, 300000
72, 20163, 20165, -5, 300000
73, 20162, 162, -5, 300000
74, 162, 20162, -5, 300000
75, 9365, 11413, -5, 300000
76, 11413, 9365, -5, 300000
77, 753, 754, -5, 300000
78, 754, 753, -5, 300000
79, 756, 757, -5, 300000
80, 757, 756, -5, 300000
81, 783, 782, -5, 300000
82, 782, 783, -5, 300000
83, 841, 840, -5, 300000
84, 840, 841, -5, 300000
85, 151, 320, -5, 300000
86, 320, 151, -5, 300000
87, 324, 323, -5, 300000
88, 323, 324, -5, 300000
89, 250, 339, -5, 300000
90, 339, 250, -5, 300000
91, 325, 316, -5, 300000
92, 316, 325, -5, 300000
93, 334, 335, -5, 300000
94, 335, 334, -5, 300000
95, 352, 353, -5, 300000
96, 353, 352, -5, 300000
97, 357, 358, -5, 300000
98, 358, 357, -5, 300000
99, 368, 367, -5, 300000
100, 367, 368, -5, 300000
101, 374, 373, -5, 300000
102, 373, 374, -5, 300000
103, 380, 117, -5, 300000
104, 117, 380, -5, 300000
105, 386, 385, -5, 300000
106, 385, 386, -5, 300000
107, 396, 395, -5, 300000
108, 395, 396, -5, 300000
109, 402, 401, -5, 300000
110, 401, 402, -5, 300000
