 ,900001,900004,900007,900010,900014,900016,900019,900022,900025,900028,900032,900034,900037,900040,900044,900046,900049,900052,900055,900058,900061,900064,900067,900070,900073,900076,900079,900082,900085,900088,900091,900094,900097,900100,900103,900106,900109,900112,900115,900118,900121,900124,900127,900130,900133,900136,900139,900142,900145,900148,900151,900154,900157,900160,900163,900166,900169,900172,900175,900178,900181,900184,900187,900190,900193,900196,900199,900202,900205,900208,900211,900214,900217,900220,900223,900226,900229,900232,900235,900238,900241,900244,900247,900250,900253,900256,900259,900262,900265,900268,900271,
600000,0,0,0.613556,0.900833,2.52022,0,0,0,0,0,3.38311,0,0,0,1.14931,1.03522,0,2.18167,0,0,1.12569,0,0,0,0,0,0.845139,6.50278,3.45278,1.208,0.983889,0,3.00911,0,0.253333,0,0,0,0,0,0,0,3.46989,0,0,0,8.94667,0,0,0,21.5588,4.312,0,0,9.74967,0,6.97889,6.38611,1.8905,6.51078,0,8.24511,0,0,11.6001,10.1481,0,0,0,0,0,0,0,0,30.7694,0,0,8.90022,0,0,0,26.4623,0,0,0,0,0,0,0,0,0,
